EIS CJX183 @0.005V,,,,,,,,,
freq / Hz,Time / s,neg. Phase / °,Idc / uA,Iac / uA,Z / Ohm,Z' / Ohm,Z'' / Ohm,Cs / F,Eac / V
10000,0,8.90686,-0.0929836,86.8521,109.936,108.61,17.0212,9.3504E-07,0.0095801
7943.28,0,8.781,0.154973,85.2639,111.809,110.498,17.0685,1.17388E-06,0.00956267
6309.57,0,8.85024,-0.0500681,83.9673,113.704,112.35,17.4936,1.44192E-06,0.00957491
5011.87,0,9.00769,0.121594,82.6886,115.497,114.073,18.083,1.7561E-06,0.0095764
3981.07,0,9.39098,-0.0166894,81.5264,117.033,115.465,19.0964,2.09348E-06,0.00956642
3162.28,0,9.98135,0.0357629,79.9336,118.78,116.983,20.5879,2.4446E-06,0.00951899
2511.89,0,10.9016,0.0357629,78.8622,120.686,118.508,22.8246,2.77599E-06,0.00954128
1995.26,0,12.033,-0.0214578,77.7149,122.677,119.982,25.5752,3.1189E-06,0.00955685
1584.89,0,13.5031,0.0166894,76.3729,125.09,121.632,29.2082,3.43807E-06,0.00957591
1258.93,0,15.4161,0.0309945,74.8925,127.522,122.934,33.8989,3.72936E-06,0.00957211
1000,0,17.8172,-0.0166894,72.8822,130.864,124.587,40.0419,3.97471E-06,0.00955874
794.328,0,20.5846,-0.011921,70.6669,135.03,126.409,47.4751,4.2204E-06,0.00956247
630.957,0,23.9413,0.00715258,68.0699,140.297,128.226,56.9324,4.43058E-06,0.00956902
501.187,0,27.869,0.121594,64.8,147.437,130.337,68.9193,4.60765E-06,0.00957108
398.107,0,32.319,0.116826,60.8514,156.998,132.676,83.9362,4.76289E-06,0.009569
316.228,0,37.1161,-0.0023842,56.0172,169.924,135.5,102.538,4.90835E-06,0.00953236
251.189,0,42.2335,0.00715258,50.918,187.374,138.734,125.944,5.03086E-06,0.00955216
199.526,0,47.3446,0.0262261,45.3749,210.421,142.578,154.752,5.15445E-06,0.00955695
158.489,0,52.3489,0.0262261,39.6874,240.668,147.013,190.548,5.27006E-06,0.00955897
125.893,0,56.9762,0.00715258,34.1225,280.251,152.733,234.975,5.3802E-06,0.00956861
100,0,61.2497,0.0309945,28.8863,331.16,159.286,290.336,5.48175E-06,0.00957023
79.4328,0,64.9462,-0.0023842,24.1634,395.824,167.62,358.581,5.58769E-06,0.0095676
63.0957,0,68.1977,-0.00715259,20.0038,478.18,177.599,443.976,5.68146E-06,0.00956757
50.1187,0,70.8902,-0.00715259,16.4859,580.382,190.006,548.399,5.7906E-06,0.00956951
39.8107,0,73.2482,-0.0023842,13.4812,709.983,204.636,679.853,5.88038E-06,0.00957259
31.6228,0,75.1413,-0.0023842,10.9583,869.503,222.972,840.428,5.98852E-06,0.00952916
25.1189,0,76.7158,-0.0023842,8.91639,1070.08,245.885,1041.45,6.08389E-06,0.0095419
19.9526,0,78.0044,-0.0023842,7.26208,1315.34,273.374,1286.61,6.19972E-06,0.00955249
15.8489,0,79.0331,-0.0023842,5.88652,1622.83,308.731,1593.19,6.30307E-06,0.00955308
12.5893,0,79.8712,-0.00715259,4.76465,2007.4,353.025,1976.12,6.39745E-06,0.00956465
10,0,80.6536,-0.0023842,3.85144,2487.68,404.005,2454.66,6.4838E-06,0.00958111
7.94328,0,81.0633,-0.00715259,3.11984,3065.05,476.134,3027.85,6.61739E-06,0.00956257
6.30957,0,81.5921,-0.00715259,2.52258,3795.18,554.927,3754.39,6.71863E-06,0.00957365
5.01187,0,81.9519,-0.00715259,2.03643,4700.36,658.071,4654.06,6.8232E-06,0.00957189
3.98107,0,82.1495,-0.00715259,1.6469,5801.43,792.41,5747.06,6.95623E-06,0.00955436
3.16228,0,82.3072,-0.00715259,1.32818,7190.9,962.585,7126.18,7.06258E-06,0.00955065
2.51189,0,82.4593,-0.00715259,1.06994,8953.65,1174.98,8876.22,7.13825E-06,0.00957941
1.99526,0,82.5555,-0.0023842,0.907323,10983.6,1423.09,10891,7.32409E-06,0.00996212
1.58489,0,82.6829,-0.0023842,0.731775,13618.1,1734.41,13507.2,7.43457E-06,0.00996077
1.25893,0,82.6687,-0.0023842,0.592287,16828.2,2147.37,16690.6,7.57439E-06,0.00996168
1,0,82.6837,-0.0023842,0.478863,20829.8,2652.62,20660.2,7.70346E-06,0.00996499
0.794328,0,82.6978,-0.0023842,0.386295,25799.4,3279.19,25590.1,7.82974E-06,0.00996073
0.630957,0,82.6557,-0.0023842,0.312687,31905.3,4078.51,31643.5,7.97142E-06,0.0099676
0.501187,0,82.5936,-0.0023842,0.252958,39443.4,5084.49,39114.3,8.11866E-06,0.00996434
0.398107,0,82.4927,-0.0023842,0.204137,48935.3,6393.56,48515.9,8.24017E-06,0.0099675
0.316228,0,82.4472,-0.0023842,0.164202,60589.1,7963.87,60063.5,8.37934E-06,0.00993189
0.251189,0,82.3579,-0.0023842,0.132995,74972.6,9970.21,74306.7,8.52692E-06,0.00994607
0.199526,0,82.2742,-0.0023842,0.107463,92977.4,12499.2,92133.4,8.65771E-06,0.0099541
0.158489,0,82.2968,-0.0023842,0.0866964,115556,15489.2,114513,8.76931E-06,0.00995833
0.125893,0,82.002,-0.0023842,0.0702249,143091,19909.4,141699,8.92184E-06,0.00995782
0.1,0,81.8301,-0.0023842,0.0567156,178180,25320.9,176372,9.02383E-06,0.00996249
